GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Speed (OBD)(mph),Engine RPM(rpm),Trip Distance(miles),Throttle Position(Manifold)(%)
Fri Feb 19 17:57:42 EST 2016,2/19/2016 17:57:43,-75.74408159,39.6264847,20.75,3,-11.10000038,182.1,0.038307227,9.730036,0.80445176,0.014240444,46.60284072,1941.25,2.692283048,21.17647171
Fri Feb 19 17:57:42 EST 2016,2/19/2016 17:57:43,-75.74408159,39.6264847,20.75,3,-11.10000038,182.1,-0.7278373,9.768343,0.9576807,0.018678878,46.60284072,1941.25,2.694742575,17.64705849
Fri Feb 19 17:57:43 EST 2016,2/19/2016 17:57:43,-75.74409031,39.6262959,21,4,-11.60000038,182.1,-1.1492168,10.840945,1.3790601,0.03998406,46.60284072,1947.5,2.694742575,17.64705849
Fri Feb 19 17:57:43 EST 2016,2/19/2016 17:57:43,-75.74409031,39.6262959,21,4,-11.60000038,182.1,-0.5363012,10.342952,1.4173675,0.036248572,47.84558314,1947.5,2.69716951,17.64705849
Fri Feb 19 17:57:43 EST 2016,2/19/2016 17:57:43,-75.74409031,39.6262959,21,4,-11.60000038,182.1,-1.3024458,9.615114,1.2641385,0.016444266,47.84558314,1941.25,2.69716951,17.64705849
Fri Feb 19 17:57:43 EST 2016,2/19/2016 17:57:43,-75.74409031,39.6262959,21,4,-11.60000038,182.1,-1.2641385,10.840945,2.030283,0.05906433,47.84558314,1941.25,2.699668148,17.64705849
Fri Feb 19 17:57:43 EST 2016,2/19/2016 17:57:43,-75.74409031,39.6262959,21,4,-11.60000038,182.1,-1.5705963,10.0748005,1.9536686,0.052329957,47.84558314,1923.25,2.699668148,17.64705849
Fri Feb 19 17:57:43 EST 2016,2/19/2016 17:57:43,-75.74409031,39.6262959,21,4,-11.60000038,182.1,-1.340753,10.113108,1.7621324,0.049628023,47.84558314,1923.25,2.702419227,17.64705849
Fri Feb 19 17:57:43 EST 2016,2/19/2016 17:57:44,-75.74409031,39.6262959,21,4,-11.60000038,182.1,-0.19153613,9.959879,1.6472107,0.04825467,47.84558314,1875.75,2.702419227,17.64705849
Fri Feb 19 17:57:43 EST 2016,2/19/2016 17:57:44,-75.74409031,39.6262959,21,4,-11.60000038,182.1,-0.7661445,9.921572,1.8004397,0.047182303,47.22421193,1875.75,2.705192232,17.64705849
Fri Feb 19 17:57:43 EST 2016,2/19/2016 17:57:44,-75.74409031,39.6262959,21,4,-11.60000038,182.1,-0.61291564,10.496181,1.7621324,0.06031691,47.22421193,1882.75,2.705192232,17.64705849
Fri Feb 19 17:57:43 EST 2016,2/19/2016 17:57:44,-75.74409031,39.6262959,21,4,-11.60000038,182.1,-0.61291564,9.308656,1.532289,-0.017308235,47.22421193,1882.75,2.707566427,18.8235302
Fri Feb 19 17:57:44 EST 2016,2/19/2016 17:57:44,-75.74409608,39.62610566,21.5,3,-12.30000019,182.2,-1.4556746,9.998186,1.532289,0.024058888,47.22421193,1881.25,2.707566427,18.8235302
Fri Feb 19 17:57:44 EST 2016,2/19/2016 17:57:44,-75.74409608,39.62610566,21.5,3,-12.30000019,182.2,-0.9576807,9.730036,1.3024458,0.031285033,46.60284072,1881.25,2.71002951,19.6078434
Fri Feb 19 17:57:44 EST 2016,2/19/2016 17:57:44,-75.74409608,39.62610566,21.5,3,-12.30000019,182.2,-0.842759,9.193734,2.1068976,0.027034085,46.60284072,1865.5,2.71002951,19.6078434
Fri Feb 19 17:57:44 EST 2016,2/19/2016 17:57:44,-75.74409608,39.62610566,21.5,3,-12.30000019,182.2,-1.0342951,10.304645,2.030283,0.094795525,46.60284072,1865.5,2.712709183,20.3921566
Fri Feb 19 17:57:44 EST 2016,2/19/2016 17:57:44,-75.74409608,39.62610566,21.5,3,-12.30000019,182.2,-0.45968673,9.80665,1.3790601,0.053740434,46.60284072,2001.5,2.712709183,20.3921566
Fri Feb 19 17:57:44 EST 2016,2/19/2016 17:57:44,-75.74409608,39.62610566,21.5,3,-12.30000019,182.2,-0.4213795,9.5385,1.1492168,0.046900496,46.60284072,2001.5,2.715129896,23.92156982
